latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
20.25,108.8333,AS-SIN,North,East
20.0333,110.1667,AS-SIN,North,East
28.6667,121.4333,AS-NCN,North,East
45.7333,126.6,AS-NCN,North,East
39.8833,115.2667,AS-NCN,North,East
50.2333,127.4833,AS-RUE,North,East
50.2,119.3833,AS-NCN,North,East
22.2,112.3167,AS-SCN,North,East
23.1667,114.6167,AS-SCN,North,East
22.7667,112.95,AS-SCN,North,East
22.65,113.1333,AS-SCN,North,East
23.1667,114.2667,AS-SCN,North,East
22.9333,113.6333,AS-SCN,North,East
24.8833,118.6667,AS-SCN,North,East
47.0167,130.7,AS-RUE,North,East
23.05,112.45,AS-SCN,North,East
40.3667,115.5,AS-NCN,North,East
33.6333,119.0167,AS-NCN,North,East
38.35,117.35,AS-NCN,North,East
25.1,107.3333,AS-SIN,North,East
23.0833,113.5,AS-SCN,North,East
30.2,115.1,AS-NCN,North,East
29.55,121.5667,AS-NCN,North,East
28.6333,121.25,AS-NCN,North,East
22.9833,114.7,AS-SCN,North,East
23.0833,114.3667,AS-SCN,North,East
45.7833,132.95,AS-RUE,North,East
40.75,120.85,AS-NCN,North,East
22.8333,113.6667,AS-SCN,North,East
30.8667,120.1,AS-NCN,North,East
23.45,111.5,AS-SCN,North,East
22.5833,113.0667,AS-SCN,North,East
21.6333,108.2667,AS-SIN,North,East
25.4667,119.3,AS-SCN,North,East
31.9,120.2833,AS-NCN,North,East
30.7667,120.75,AS-NCN,North,East
48.8667,130.3667,AS-RUE,North,East
22.8667,116.05,AS-SCN,North,East
23.0333,116.3,AS-SCN,North,East
22.0167,100.8,AS-SIN,North,East
32.0333,120.2833,AS-NCN,North,East
22.5167,113.0167,AS-SCN,North,East
30.3,112.2667,AS-NCN,North,East
25.5,119.7833,AS-SCN,North,East
41.1167,121.15,AS-NCN,North,East
22.8333,113.0,AS-SCN,North,East
29.7167,115.9667,AS-NCN,North,East
24.0333,117.7,AS-SCN,North,East
31.9167,119.1667,AS-NCN,North,East
34.7833,114.3333,AS-NCN,North,East
37.1667,119.95,AS-NCN,North,East
35.0667,119.3667,AS-NCN,North,East
29.2,119.4667,AS-NCN,North,East
23.0167,115.2667,AS-SCN,North,East
34.7167,119.4333,AS-NCN,North,East
24.7667,112.35,AS-SCN,North,East
27.6667,113.4833,AS-SCN,North,East
28.85,121.1167,AS-NCN,North,East
40.0667,116.75,AS-NCN,North,East
23.0667,112.0,AS-SCN,North,East
20.9,110.0667,AS-SIN,North,East
23.3167,109.4,AS-SIN,North,East
40.7667,115.5667,AS-NCN,North,East
26.4667,113.2667,AS-SCN,North,East
37.65,120.35,AS-NCN,North,East
37.4333,122.6333,AS-NCN,North,East
31.7333,116.4833,AS-NCN,North,East
22.95,115.6333,AS-SCN,North,East
30.8167,122.6167,AS-NCN,North,East
47.5667,130.8167,AS-RUE,North,East
38.6833,121.1833,AS-NCN,North,East
32.05,121.6167,AS-NCN,North,East
28.9,105.4,AS-NCN,North,East
31.7167,118.4667,AS-NCN,North,East
19.95,110.0167,AS-SIN,North,East
23.35,112.6833,AS-SCN,North,East
30.6667,122.4,AS-NCN,North,East
22.45,113.8833,AS-SCN,North,East
25.9833,119.45,AS-SCN,North,East
24.7,117.0667,AS-SCN,North,East
40.3667,116.8333,AS-NCN,North,East
53.0167,122.45,AS-NCN,North,East
23.4333,117.6833,AS-SCN,North,East
23.0167,113.15,AS-SCN,North,East
23.1167,111.8,AS-SCN,North,East
32.05,118.7667,AS-NCN,North,East
22.8,108.3167,AS-SIN,North,East
22.75,113.5833,AS-SCN,North,East
32.0167,120.85,AS-NCN,North,East
20.9167,110.5833,AS-SCN,North,East
29.8667,121.55,AS-NCN,North,East
29.9167,121.6667,AS-NCN,North,East
29.8667,121.55,AS-NCN,North,East
36.3833,120.8667,AS-NCN,North,East
41.1167,122.05,AS-NCN,North,East
37.8,120.75,AS-NCN,North,East
22.1,113.1667,AS-SCN,North,East
23.0333,113.2,AS-SCN,North,East
34.3351999,118.01246,AS-NCN,North,East
31.2333,121.5,AS-NCN,North,East
24.4333,119.0167,AS-SCN,North,East
35.7,115.0,AS-NCN,North,East
22.2333,113.5167,AS-SCN,North,East
36.05,120.2167,AS-NCN,North,East
26.2,119.5167,AS-SCN,North,East
36.05,120.3167,AS-NCN,North,East
34.6833,115.7667,AS-NCN,North,East
19.55,110.8167,AS-SCN,North,East
41.3667,126.5167,AS-NCN,North,East
23.7,113.0167,AS-SCN,North,East
39.9167,119.5833,AS-NCN,North,East
21.5833,108.4667,AS-SIN,North,East
24.9333,118.6,AS-SCN,North,East
24.9333,118.6,AS-SCN,North,East
23.5833,116.4333,AS-SCN,North,East
46.8,134.0,AS-RUE,North,East
23.6667,117.0,AS-SCN,North,East
35.3833,119.5333,AS-NCN,North,East
37.15,122.3833,AS-NCN,North,East
22.7833,113.2667,AS-SCN,North,East
26.9667,119.6833,AS-SCN,North,East
26.2333,117.6167,AS-SCN,North,East
26.9333,120.2167,AS-SCN,North,East
23.1667,112.8667,AS-SCN,North,East
33.7833,120.25,AS-NCN,North,East
22.05,113.35,AS-SCN,North,East
26.65,119.5167,AS-SCN,North,East
21.6,112.7833,AS-SCN,North,East
31.2333,121.4833,AS-NCN,North,East
31.2333,121.4833,AS-NCN,North,East
